mode,trig,act,dev_trig,dev_act,installs,views,weight,n_rules,quota,spaces
trigger,contact,light.color,ContactSensor,Light,317,847,0.015121,9,28,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME11 HOME12 HOME13 HOME14 HOME15 HOME16 HOME17 HOME18 HOME19 HOME20 OFFICE01 OFFICE03 OFFICE06 LAB01 LAB02 LAB03 FACT03
trigger,button,media,Button,Television,139219,6715,0.012678,24,31,HOME02 HOME03 HOME04 HOME06 HOME07 HOME08 HOME11 HOME12 HOME13 HOME15 HOME18
trigger,battery,notify,Battery,NotificationProvider,70033,482,0.012435,27,30,HOME07 HOME15 LAB01 FARM02
trigger,contact,garage,ContactSensor,GarageDoor,29548,0,0.012148,63,30,HOME06 HOME07 HOME15 HOME16 HOME18
trigger,time,media,Clock,Television,10420,109,0.011347,28,28,HOME02 HOME03 HOME04 HOME06 HOME07 HOME08 HOME11 HOME12 HOME13 HOME14 HOME15 HOME18
trigger,contact,notify,ContactSensor,NotificationProvider,949,55594,0.011248,11,28,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME11 HOME12 HOME13 HOME14 HOME15 HOME16 HOME17 HOME18 HOME19 HOME20 OFFICE01 OFFICE03 OFFICE06 LAB01 LAB02 LAB03 FARM04 FACT03
trigger,motion,notify,MotionSensor,NotificationProvider,10166,194,0.010485,20,27,HOME01 HOME05 HOME06 HOME08 HOME09 HOME10 HOME12 HOME16 HOME17 HOME18 OFFICE06 LAB01 FARM03 FACT02
trigger,time,light.on,Clock,Light,29978,0,0.010058,54,20,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME11 HOME12 HOME13 HOME14 HOME15 HOME16 HOME17 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE03 OFFICE04 OFFICE05 OFFICE06 LAB01 LAB02 LAB03 LAB04 LAB05 FARM02 FARM03 FACT01 FACT02 FACT03 FACT04 FACT05
trigger,power,notify,PowerMeter,NotificationProvider,2641,1202,0.009675,13,25,HOME01 HOME08 HOME11 HOME15 HOME19 LAB01 LAB02 LAB04 LAB05 FACT01 FACT03 FACT04
trigger,button,garage,Button,GarageDoor,679,24943,0.009634,4,24,HOME06 HOME07 HOME15 HOME16 HOME18 FACT02
trigger,time,camera,Clock,Camera,8762,116,0.009522,19,24,HOME06 HOME07 HOME08 HOME09 HOME15 HOME16 HOME18 HOME19 OFFICE03 OFFICE05 OFFICE06 LAB01 LAB02 LAB03 LAB04 LAB05 FARM01 FARM02 FARM03 FARM04 FACT01 FACT02 FACT03 FACT04 FACT05
trigger,arrive,light.on,PersonTracker,Light,110440,0,0.009412,48,17,HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME11 HOME13 HOME15 HOME16 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE05 OFFICE06 LAB01 LAB04
trigger,leak,notify,LeakSensor,NotificationProvider,433,2035,0.008880,7,21,HOME06 HOME07 HOME14 HOME16 LAB02 FACT05
trigger,threshold,light.dim,TemperatureSensor,Light,37,5110,0.008422,2,15,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME11 HOME12 HOME13 HOME14 HOME15 HOME16 HOME17 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE03 OFFICE04 OFFICE05 OFFICE06 LAB01 LAB02 LAB03 LAB04 LAB05 FARM02 FARM03 FACT01 FACT02 FACT03 FACT04 FACT05
trigger,timer,light.on,Clock,Light,379,1390,0.008115,4,15,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME11 HOME12 HOME13 HOME14 HOME15 HOME16 HOME17 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE03 OFFICE04 OFFICE05 OFFICE06 LAB01 LAB02 LAB03 LAB04 LAB05 FARM02 FARM03 FACT01 FACT02 FACT03 FACT04 FACT05
