mode,trig,act,dev_trig,dev_act,installs,views,weight,n_rules,quota,spaces
trigger,weather,ac,WeatherProvider,AirConditioner,1249,0,0.002032,12,6,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME12 HOME13 HOME15 HOME18 HOME19 OFFICE01 OFFICE02 OFFICE03 OFFICE05 LAB01 FARM04
trigger,phone,light.on,PersonTracker,Light,3675,0,0.002021,10,5,HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME11 HOME13 HOME15 HOME16 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE05 OFFICE06 LAB01 LAB04
trigger,finished,vacuum,LaundryWasher,RobotVacuumCleaner,921,0,0.001976,11,5,HOME02 HOME06 HOME07 HOME12 HOME18
trigger,leave,camera,PersonTracker,Camera,5376,0,0.001972,10,5,HOME06 HOME07 HOME08 HOME15 HOME16 HOME18 HOME19 OFFICE05 OFFICE06 LAB01 LAB04
trigger,security,lock,Camera,DoorLock,3696,0,0.001952,10,5,HOME06 HOME07 HOME08 HOME09 HOME15 HOME16 HOME18 HOME19 OFFICE03 OFFICE05 OFFICE06 LAB02 LAB03 LAB04 FARM04 FACT02
trigger,leave,light.on,PersonTracker,Light,15431,0,0.001914,9,4,HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME11 HOME13 HOME15 HOME16 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE05 OFFICE06 LAB01 LAB04
trigger,threshold,ac,TemperatureSensor,AirConditioner,715,0,0.001892,11,5,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME11 HOME12 HOME13 HOME15 HOME17 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE03 OFFICE04 OFFICE05 OFFICE06 LAB01 LAB04 FARM04
trigger,sun,light.dim,SunProvider,Light,9025,0,0.001809,9,4,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME11 HOME12 HOME13 HOME14 HOME15 HOME16 HOME17 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE03 OFFICE04 OFFICE05 OFFICE06 LAB01 LAB02 LAB03 LAB04 LAB05 FARM02 FARM03 FACT01 FACT02 FACT03 FACT04 FACT05
trigger,doorbell,light.on,Doorbell,Light,2215,0,0.001795,9,4,HOME06 HOME10 HOME18
trigger,weather,light.scene,WeatherProvider,Light,895,0,0.001638,9,4,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME12 HOME13 HOME15 HOME16 HOME18 HOME19 OFFICE01 OFFICE02 OFFICE03 OFFICE05 LAB01 LAB03 FARM02 FARM03 FACT01 FACT05
trigger,button,ac,Button,AirConditioner,688,0,0.001612,9,5,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME11 HOME12 HOME13 HOME15 HOME18 HOME19 HOME20 OFFICE01 OFFICE05 OFFICE06 LAB01 LAB04 FARM04
trigger,threshold,camera,TemperatureSensor,Camera,1135,0,0.001591,9,5,HOME06 HOME07 HOME08 HOME09 HOME15 HOME16 HOME18 HOME19 OFFICE03 OFFICE05 OFFICE06 LAB01 LAB02 LAB03 LAB04 LAB05 FARM01 FARM02 FARM03 FARM04 FACT01 FACT02 FACT03 FACT04 FACT05
trigger,button,coffee,Button,CoffeeMaker,11981,0,0.001585,8,5,HOME19 HOME20 OFFICE01 OFFICE06
trigger,leave,notify,PersonTracker,NotificationProvider,12240,0,0.001496,7,5,HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME11 HOME13 HOME15 HOME16 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE05 OFFICE06 LAB01 LAB04
trigger,smoke,light.on,SmokeDetector,Light,6202,0,0.001479,8,3,HOME03 HOME05 HOME06 HOME07 HOME10 HOME12 HOME14 HOME15 HOME18 HOME20 OFFICE02 OFFICE04 OFFICE05 LAB01 LAB02 FACT01 FACT02 FACT04
trigger,phone,switch,PersonTracker,Switch,321,0,0.001465,9,4,HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME11 HOME13 HOME15 HOME16 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE05 OFFICE06 LAB01 LAB04
trigger,finished,media,LaundryWasher,Television,946,0,0.001429,8,4,HOME02 HOME06 HOME07 HOME12 HOME18
trigger,weather,cover,WeatherProvider,WindowCovering,1167,0,0.001419,8,4,HOME03 HOME04 HOME05 HOME06 HOME08 HOME09 HOME13 HOME15 HOME18 HOME19 OFFICE01 OFFICE02 OFFICE05 FARM01
trigger,motion,switch,MotionSensor,Switch,538,0,0.001412,8,4,HOME01 HOME05 HOME06 HOME08 HOME09 HOME10 HOME12 HOME16 HOME17 HOME18 OFFICE06 LAB01 FARM03 FACT02
trigger,power,thermostat,PowerMeter,Thermostat,643,0,0.001389,8,4,HOME11 HOME19
trigger,arrive,ac,PersonTracker,AirConditioner,438,0,0.001388,8,4,HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME11 HOME13 HOME15 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE05 OFFICE06 LAB01 LAB04
trigger,weather,sprinkler,WeatherProvider,Sprinkler,372,0,0.001354,8,4,HOME06 HOME07 FARM01 FARM03
trigger,time,light.dim,Clock,Light,1247,0,0.001275,7,3,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME11 HOME12 HOME13 HOME14 HOME15 HOME16 HOME17 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE03 OFFICE04 OFFICE05 OFFICE06 LAB01 LAB02 LAB03 LAB04 LAB05 FARM02 FARM03 FACT01 FACT02 FACT03 FACT04 FACT05
trigger,weather,light.dim,WeatherProvider,Light,2172,0,0.001257,6,3,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME12 HOME13 HOME15 HOME16 HOME18 HOME19 OFFICE01 OFFICE02 OFFICE03 OFFICE05 LAB01 LAB03 FARM02 FARM03 FACT01 FACT05
trigger,presence,notify,PresenceSensor,NotificationProvider,3686,0,0.001166,6,4,HOME04 HOME06 HOME08 HOME12 HOME15 HOME19 OFFICE01 OFFICE02 OFFICE03 OFFICE05 LAB01 LAB04 LAB05
trigger,weather,query,WeatherProvider,,301,0,0.001165,7,4,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME12 HOME13 HOME15 HOME16 HOME18 HOME19 OFFICE01 OFFICE02 OFFICE03 OFFICE05 LAB01 LAB03 FARM01 FARM02 FARM03 FARM04 FACT01 FACT05
trigger,contact,light.on,ContactSensor,Light,993,0,0.001153,6,3,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME11 HOME12 HOME13 HOME14 HOME15 HOME16 HOME17 HOME18 HOME19 HOME20 OFFICE01 OFFICE03 OFFICE06 LAB01 LAB02 LAB03 FACT03
trigger,security,cover,Camera,WindowCovering,214,0,0.001152,7,4,HOME06 HOME08 HOME09 HOME15 HOME18 HOME19 OFFICE05 FARM01
trigger,threshold,light.off,TemperatureSensor,Light,840,0,0.001142,6,3,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME11 HOME12 HOME13 HOME14 HOME15 HOME16 HOME17 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE03 OFFICE04 OFFICE05 OFFICE06 LAB01 LAB02 LAB03 LAB04 LAB05 FARM02 FARM03 FACT01 FACT02 FACT03 FACT04 FACT05
trigger,threshold,plug,TemperatureSensor,Plug,510,0,0.001050,6,4,HOME01 HOME08 HOME11 HOME15 HOME17 HOME19 LAB01 LAB02 LAB03 LAB04 LAB05
trigger,arrive,light.dim,PersonTracker,Light,539,0,0.001046,6,3,HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME11 HOME13 HOME15 HOME16 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE05 OFFICE06 LAB01 LAB04
trigger,arrive,vacuum,PersonTracker,RobotVacuumCleaner,5324,0,0.001022,5,4,HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME13 HOME15 HOME18 LAB01
trigger,weather,camera,WeatherProvider,Camera,1826,0,0.001004,5,4,HOME06 HOME07 HOME08 HOME09 HOME15 HOME16 HOME18 HOME19 OFFICE03 OFFICE05 LAB01 LAB03 FARM01 FARM02 FARM03 FARM04 FACT01 FACT05
trigger,threshold,light.scene,TemperatureSensor,Light,241,0,0.001002,6,3,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME11 HOME12 HOME13 HOME14 HOME15 HOME16 HOME17 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE03 OFFICE04 OFFICE05 OFFICE06 LAB01 LAB02 LAB03 LAB04 LAB05 FARM02 FARM03 FACT01 FACT02 FACT03 FACT04 FACT05
trigger,weather,switch,WeatherProvider,Switch,158,0,0.000963,6,3,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME12 HOME13 HOME15 HOME16 HOME18 HOME19 OFFICE01 OFFICE02 OFFICE03 OFFICE05 LAB01 LAB03 FARM01 FARM02 FARM03 FARM04 FACT01 FACT05
trigger,doorbell,notify,Doorbell,NotificationProvider,893,0,0.000936,5,3,HOME06 HOME10 HOME18
trigger,button,lock,Button,DoorLock,1421,0,0.000882,5,3,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME11 HOME12 HOME13 HOME15 HOME16 HOME18 HOME19 OFFICE01 OFFICE05 OFFICE06 LAB02 LAB03 LAB04 FARM04 FACT02
trigger,threshold,humidity,TemperatureSensor,Humidifier,371,0,0.000871,5,3,HOME09 HOME15 LAB01 FARM02 FARM03
trigger,weather,mower,WeatherProvider,Mower,30929,0,0.000870,4,3,HOME06 HOME07
trigger,weather,plug,WeatherProvider,Plug,310,0,0.000868,5,3,HOME01 HOME08 HOME15 HOME19 LAB01 LAB03
trigger,motion,plug,MotionSensor,Plug,413,0,0.000751,4,3,HOME01 HOME08 HOME17 LAB01
trigger,smoke,light.color,SmokeDetector,Light,2513,0,0.000747,4,3,HOME03 HOME05 HOME06 HOME07 HOME10 HOME12 HOME14 HOME15 HOME18 HOME20 OFFICE02 OFFICE04 OFFICE05 LAB01 LAB02 FACT01 FACT02 FACT04
trigger,phone,light.color,PersonTracker,Light,30017,0,0.000731,3,3,HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME11 HOME13 HOME15 HOME16 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE05 OFFICE06 LAB01 LAB04
trigger,finished,light.on,LaundryWasher,Light,556,0,0.000716,4,3,HOME02 HOME06 HOME07 HOME12 HOME18
trigger,time,garage,Clock,GarageDoor,3868,0,0.000704,4,3,HOME06 HOME07 HOME15 HOME16 HOME18 FACT02
trigger,button,cover,Button,WindowCovering,197,0,0.000686,4,3,HOME03 HOME04 HOME05 HOME06 HOME08 HOME09 HOME11 HOME13 HOME15 HOME18 HOME19 OFFICE01 OFFICE05 FARM01
trigger,leave,ac,PersonTracker,AirConditioner,184,0,0.000685,4,3,HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME11 HOME13 HOME15 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE05 OFFICE06 LAB01 LAB04
trigger,arrive,light.off,PersonTracker,Light,125,0,0.000664,4,3,HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME11 HOME13 HOME15 HOME16 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE05 OFFICE06 LAB01 LAB04
trigger,leave,garage,PersonTracker,GarageDoor,8922,0,0.000643,3,3,HOME06 HOME07 HOME15 HOME16 HOME18
trigger,doorbell,media,Doorbell,Television,1530,0,0.000622,3,3,HOME06 HOME18
trigger,leave,vacuum,PersonTracker,RobotVacuumCleaner,5101,0,0.000603,3,3,HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME13 HOME15 HOME18 LAB01
trigger,button,waterheater,Button,WaterHeater,415,0,0.000594,3,3,HOME05 HOME06 HOME07 HOME16
trigger,arrive,garage,PersonTracker,GarageDoor,510,0,0.000590,3,3,HOME06 HOME07 HOME15 HOME16 HOME18
trigger,sun,thermostat,SunProvider,Thermostat,766,0,0.000583,3,3,HOME02 HOME05 HOME06 HOME07 HOME11 HOME14 HOME16 HOME18 HOME19 HOME20 OFFICE01 OFFICE06
trigger,leave,light.color,PersonTracker,Light,12586,0,0.000551,2,3,HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME11 HOME13 HOME15 HOME16 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE05 OFFICE06 LAB01 LAB04
trigger,button,siren,Button,Siren,226,0,0.000549,3,3,HOME06 HOME07 HOME10 HOME16 OFFICE05 OFFICE06 LAB02 LAB03 FACT01 FACT02
trigger,battery,light.color,Battery,Light,262,0,0.000548,3,3,HOME07 HOME15 LAB01 FARM02
trigger,security,garage,Camera,GarageDoor,178,0,0.000538,3,3,HOME06 HOME07 HOME15 HOME16 HOME18 FACT02
trigger,time,lock,Clock,DoorLock,948,0,0.000536,3,3,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME11 HOME12 HOME13 HOME15 HOME16 HOME18 HOME19 OFFICE01 OFFICE02 OFFICE03 OFFICE04 OFFICE05 OFFICE06 LAB02 LAB03 LAB04 FARM04 FACT02
trigger,motion,light.off,MotionSensor,Light,210,0,0.000533,3,3,HOME01 HOME05 HOME06 HOME08 HOME09 HOME10 HOME12 HOME16 HOME17 HOME18 OFFICE06 LAB01 FARM03 FACT02
trigger,device,light.on,Switch,Light,147,0,0.000525,3,3,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME11 HOME12 HOME13 HOME14 HOME15 HOME16 HOME17 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE03 OFFICE04 OFFICE05 OFFICE06 LAB01 LAB02 LAB03 LAB04 LAB05 FARM02 FARM03 FACT01 FACT02 FACT03 FACT04 FACT05
trigger,weather,fan,WeatherProvider,Fan,178,0,0.000522,3,3,HOME01 HOME03 HOME04 HOME05 HOME06 HOME08 HOME09 HOME10 HOME12 HOME13 HOME19 OFFICE01 FARM02
trigger,contact,thermostat,ContactSensor,Thermostat,124,0,0.000515,3,3,HOME02 HOME05 HOME06 HOME07 HOME11 HOME14 HOME16 HOME18 HOME19 HOME20 OFFICE01 OFFICE06
trigger,threshold,switch,TemperatureSensor,Switch,235,0,0.000514,3,3,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME11 HOME12 HOME13 HOME14 HOME15 HOME16 HOME17 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE03 OFFICE04 OFFICE05 OFFICE06 LAB01 LAB02 LAB03 LAB04 LAB05 FARM01 FARM02 FARM03 FARM04 FACT01 FACT02 FACT03 FACT04 FACT05
trigger,arrive,cover,PersonTracker,WindowCovering,199,0,0.000513,3,3,HOME03 HOME04 HOME05 HOME06 HOME08 HOME11 HOME13 HOME15 HOME18 HOME19 OFFICE01 OFFICE02 OFFICE05
trigger,time,coffee,Clock,CoffeeMaker,286,0,0.000512,3,3,HOME19 HOME20 OFFICE01 OFFICE02 OFFICE04 OFFICE06
trigger,leave,lock,PersonTracker,DoorLock,176,0,0.000510,3,3,HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME11 HOME13 HOME15 HOME16 HOME18 HOME19 OFFICE01 OFFICE02 OFFICE05 OFFICE06 LAB04
trigger,weather,garage,WeatherProvider,GarageDoor,106,0,0.000509,3,3,HOME06 HOME07 HOME15 HOME16 HOME18
trigger,contact,camera,ContactSensor,Camera,177,0,0.000505,3,3,HOME06 HOME07 HOME08 HOME09 HOME15 HOME16 HOME18 HOME19 OFFICE03 OFFICE06 LAB01 LAB02 LAB03 FARM04 FACT03
trigger,button,vacuum,Button,RobotVacuumCleaner,12042,0,0.000499,2,3,HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME12 HOME13 HOME15 HOME18 LAB01
trigger,time,ac,Clock,AirConditioner,103,0,0.000497,3,3,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME11 HOME12 HOME13 HOME15 HOME17 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE03 OFFICE04 OFFICE05 OFFICE06 LAB01 LAB04 FARM04
trigger,timer,notify,Clock,NotificationProvider,137,0,0.000494,3,3,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME11 HOME12 HOME13 HOME14 HOME15 HOME16 HOME17 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE03 OFFICE04 OFFICE05 OFFICE06 LAB01 LAB02 LAB03 LAB04 LAB05 FARM01 FARM02 FARM03 FARM04 FACT01 FACT02 FACT03 FACT04 FACT05
trigger,battery,switch,Battery,Switch,125761,0,0.000486,2,3,HOME07 HOME15 LAB01 FARM02
trigger,power,media,PowerMeter,Television,91,0,0.000482,3,3,HOME08 HOME11 HOME15
trigger,power,speaker,PowerMeter,Speaker,90,0,0.000482,3,3,HOME01 HOME08 HOME11 HOME15 HOME19 LAB01 LAB02 LAB04 LAB05 FACT01 FACT03 FACT04
trigger,weather,light.off,WeatherProvider,Light,63,0,0.000478,3,3,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME12 HOME13 HOME15 HOME16 HOME18 HOME19 OFFICE01 OFFICE02 OFFICE03 OFFICE05 LAB01 LAB03 FARM02 FARM03 FACT01 FACT05
trigger,sun,fan,SunProvider,Fan,1718,0,0.000467,2,3,HOME01 HOME03 HOME04 HOME05 HOME06 HOME08 HOME09 HOME10 HOME12 HOME13 HOME14 HOME17 HOME19 HOME20 OFFICE01 OFFICE04 FARM02
trigger,motion,light.dim,MotionSensor,Light,51,0,0.000463,3,3,HOME01 HOME05 HOME06 HOME08 HOME09 HOME10 HOME12 HOME16 HOME17 HOME18 OFFICE06 LAB01 FARM03 FACT02
trigger,arrive,query,PersonTracker,,9417,0,0.000455,2,3,HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME11 HOME13 HOME15 HOME16 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE05 OFFICE06 LAB01 LAB04
trigger,arrive,lock,PersonTracker,DoorLock,1631,0,0.000434,2,3,HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME11 HOME13 HOME15 HOME16 HOME18 HOME19 OFFICE01 OFFICE02 OFFICE05 OFFICE06 LAB04
trigger,time,speaker,Clock,Speaker,4212,0,0.000430,2,3,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME11 HOME12 HOME13 HOME14 HOME15 HOME17 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE03 OFFICE04 OFFICE05 OFFICE06 LAB01 LAB02 LAB03 LAB04 LAB05 FARM01 FARM02 FARM04 FACT01 FACT02 FACT03 FACT04 FACT05
trigger,motion,light.scene,MotionSensor,Light,336,0,0.000404,2,3,HOME01 HOME05 HOME06 HOME08 HOME09 HOME10 HOME12 HOME16 HOME17 HOME18 OFFICE06 LAB01 FARM03 FACT02
trigger,time,sprinkler,Clock,Sprinkler,522,0,0.000403,2,3,HOME06 HOME07 FARM01 FARM03
trigger,smoke,notify,SmokeDetector,NotificationProvider,217,0,0.000386,2,3,HOME03 HOME05 HOME06 HOME07 HOME10 HOME12 HOME14 HOME15 HOME18 HOME20 OFFICE02 OFFICE04 OFFICE05 LAB01 LAB02 FACT01 FACT02 FACT04
trigger,contact,light.scene,ContactSensor,Light,205,0,0.000366,2,3,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME11 HOME12 HOME13 HOME14 HOME15 HOME16 HOME17 HOME18 HOME19 HOME20 OFFICE01 OFFICE03 OFFICE06 LAB01 LAB02 LAB03 FACT03
trigger,weather,humidity,WeatherProvider,Humidifier,136,0,0.000366,2,3,HOME09 HOME15 LAB01 FARM02 FARM03
trigger,leave,query,PersonTracker,,220777,0,0.000352,1,3,HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME11 HOME13 HOME15 HOME16 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE05 OFFICE06 LAB01 LAB04
trigger,arrive,purifier,PersonTracker,AirPurifier,83,0,0.000346,2,3,HOME02 HOME03 HOME04 HOME08 HOME13 HOME15 HOME19 OFFICE01 OFFICE02 LAB01
trigger,arrive,speaker,PersonTracker,Speaker,80,0,0.000346,2,3,HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME11 HOME13 HOME15 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE05 OFFICE06 LAB01 LAB04
trigger,finished,purifier,LaundryWasher,AirPurifier,88,0,0.000345,2,3,HOME02
trigger,leave,cover,PersonTracker,WindowCovering,88,0,0.000344,2,3,HOME03 HOME04 HOME05 HOME06 HOME08 HOME11 HOME13 HOME15 HOME18 HOME19 OFFICE01 OFFICE02 OFFICE05
trigger,leave,light.dim,PersonTracker,Light,76,0,0.000342,2,3,HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME11 HOME13 HOME15 HOME16 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE05 OFFICE06 LAB01 LAB04
trigger,leave,plug,PersonTracker,Plug,93,0,0.000342,2,3,HOME08 HOME11 HOME15 HOME19 LAB01 LAB04
trigger,calendar,media,CalendarProvider,Television,94,0,0.000341,2,3,HOME15
trigger,device,light.color,Switch,Light,69,0,0.000340,2,3,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME11 HOME12 HOME13 HOME14 HOME15 HOME16 HOME17 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE03 OFFICE04 OFFICE05 OFFICE06 LAB01 LAB02 LAB03 LAB04 LAB05 FARM02 FARM03 FACT01 FACT02 FACT03 FACT04 FACT05
trigger,threshold,purifier,TemperatureSensor,AirPurifier,64,0,0.000337,2,3,HOME02 HOME03 HOME04 HOME08 HOME09 HOME13 HOME15 HOME19 OFFICE01 OFFICE02 OFFICE04 LAB01 LAB03
trigger,phone,cover,PersonTracker,WindowCovering,46,0,0.000317,2,3,HOME03 HOME04 HOME05 HOME06 HOME08 HOME11 HOME13 HOME15 HOME18 HOME19 OFFICE01 OFFICE02 OFFICE05
trigger,timer,light.color,Clock,Light,36,0,0.000313,2,3,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME11 HOME12 HOME13 HOME14 HOME15 HOME16 HOME17 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE03 OFFICE04 OFFICE05 OFFICE06 LAB01 LAB02 LAB03 LAB04 LAB05 FARM02 FARM03 FACT01 FACT02 FACT03 FACT04 FACT05
trigger,finished,switch,LaundryWasher,Switch,41,0,0.000313,2,3,HOME02 HOME06 HOME07 HOME12 HOME18
trigger,calendar,light.color,CalendarProvider,Light,29,0,0.000304,2,3,HOME15 HOME19 OFFICE01 OFFICE02 OFFICE03 OFFICE04 OFFICE05 OFFICE06 LAB01 LAB03 LAB04 FACT01
trigger,security,thermostat,Camera,Thermostat,26,0,0.000300,2,3,HOME06 HOME07 HOME16 HOME18 HOME19 OFFICE06
trigger,presence,thermostat,PresenceSensor,Thermostat,25,0,0.000299,2,3,HOME06 HOME19 OFFICE01
trigger,contact,switch,ContactSensor,Switch,24,0,0.000298,2,3,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME11 HOME12 HOME13 HOME14 HOME15 HOME16 HOME17 HOME18 HOME19 HOME20 OFFICE01 OFFICE03 OFFICE06 LAB01 LAB02 LAB03 FARM04 FACT03
trigger,sun,mower,SunProvider,Mower,2891,0,0.000262,1,3,HOME06 HOME07
trigger,arrive,coffee,PersonTracker,CoffeeMaker,1683,0,0.000250,1,3,HOME19 HOME20 OFFICE01 OFFICE02 OFFICE06
trigger,timer,camera,Clock,Camera,786,0,0.000234,1,3,HOME06 HOME07 HOME08 HOME09 HOME15 HOME16 HOME18 HOME19 OFFICE03 OFFICE05 OFFICE06 LAB01 LAB02 LAB03 LAB04 LAB05 FARM01 FARM02 FARM03 FARM04 FACT01 FACT02 FACT03 FACT04 FACT05
trigger,leave,media,PersonTracker,Television,538,0,0.000227,1,3,HOME02 HOME03 HOME04 HOME06 HOME07 HOME08 HOME11 HOME13 HOME15 HOME18
trigger,security,media,Camera,Television,227,0,0.000209,1,3,HOME06 HOME07 HOME08 HOME15 HOME18
trigger,doorbell,light.dim,Doorbell,Light,208,0,0.000207,1,3,HOME06 HOME10 HOME18
trigger,phone,light.off,PersonTracker,Light,187,0,0.000205,1,3,HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME11 HOME13 HOME15 HOME16 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE05 OFFICE06 LAB01 LAB04
trigger,threshold,media,TemperatureSensor,Television,176,0,0.000203,1,3,HOME02 HOME03 HOME04 HOME06 HOME07 HOME08 HOME11 HOME12 HOME13 HOME14 HOME15 HOME18
trigger,sun,media,SunProvider,Television,148,0,0.000200,1,3,HOME02 HOME03 HOME04 HOME06 HOME07 HOME08 HOME11 HOME12 HOME13 HOME14 HOME15 HOME18
trigger,doorbell,thermostat,Doorbell,Thermostat,131,0,0.000197,1,3,HOME06 HOME18
trigger,security,plug,Camera,Plug,109,0,0.000193,1,3,HOME08 HOME15 HOME19 LAB01 LAB02 LAB03 LAB04 LAB05
trigger,presence,switch,PresenceSensor,Switch,103,0,0.000192,1,3,HOME04 HOME06 HOME08 HOME12 HOME15 HOME19 OFFICE01 OFFICE02 OFFICE03 OFFICE05 LAB01 LAB04 LAB05
trigger,threshold,garage,TemperatureSensor,GarageDoor,94,0,0.000190,1,3,HOME06 HOME07 HOME15 HOME16 HOME18 FACT02
trigger,power,light.off,PowerMeter,Light,75,0,0.000186,1,3,HOME01 HOME08 HOME11 HOME15 HOME19 LAB01 LAB02 LAB04 LAB05 FACT01 FACT03 FACT04
trigger,timer,ac,Clock,AirConditioner,59,0,0.000181,1,3,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME11 HOME12 HOME13 HOME15 HOME17 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE03 OFFICE04 OFFICE05 OFFICE06 LAB01 LAB04 FARM04
trigger,timer,light.off,Clock,Light,55,0,0.000179,1,3,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME11 HOME12 HOME13 HOME14 HOME15 HOME16 HOME17 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE03 OFFICE04 OFFICE05 OFFICE06 LAB01 LAB02 LAB03 LAB04 LAB05 FARM02 FARM03 FACT01 FACT02 FACT03 FACT04 FACT05
