src,sid,score,trig,dev_trig,act,dev_act,acts,n_act,mobile,text_ok,text,note
ifttt_pop,ifttt_pop:qvLA4p5w,1409,message,MessageSender,notify,NotificationProvider,notify,1,1,0,,Email
ifttt_pop,ifttt_pop:rHaUpTFg,5750,time,Clock,notify,NotificationProvider,notify,1,1,0,,Calendars & scheduling
ifttt_pop,ifttt_pop:Wigqp8eD,11483,voice,,notify,NotificationProvider,notify,1,1,0,,Voice assistants
ifttt_pop,ifttt_pop:JYpHBqMT,7642,voice,,notify,NotificationProvider,notify,1,1,0,,Voice assistants
ifttt_pop,ifttt_pop:niGxuBZE,104,contact,ContactSensor,garage,GarageDoor,garage,1,1,0,,Security & monitoring systems
ifttt_pop,ifttt_pop:uXa5rcSH,1244,calendar,CalendarProvider,notify,NotificationProvider,notify,1,1,0,,Mobile devices & accessories
ifttt_pop,ifttt_pop:DBC8hukN,24745,voice,,notify,NotificationProvider,notify,1,1,0,,Voice assistants
ifttt_pop,ifttt_pop:txteApX3,6159,voice,,notify,NotificationProvider,notify,1,1,0,,Voice assistants
ifttt_pop,ifttt_pop:zytmZdfA,14765,voice,,notify,NotificationProvider,notify,1,1,0,,Voice assistants
ifttt_pop,ifttt_pop:XnV5yJeB,22147,voice,,notify,NotificationProvider,notify,1,1,0,,Voice assistants
ifttt_pop,ifttt_pop:U3i9uV5a,861,time,Clock,notify,NotificationProvider,notify,1,1,0,,Calendars & scheduling
ifttt_pop,ifttt_pop:tKVNdGmn,739,voice,,notify,NotificationProvider,notify,1,1,0,,Voice assistants
ifttt_pop,ifttt_pop:VMRg62hN,15130,calendar,CalendarProvider,notify,NotificationProvider,notify,1,1,0,,Mobile devices & accessories
ifttt_pop,ifttt_pop:TwyzkFaE,9385,arrive,PersonTracker,query,,,0,1,0,,Location
ifttt_pop,ifttt_pop:iJpk4GU8,4218,calendar,CalendarProvider,notify,NotificationProvider,notify,1,1,0,,Mobile devices & accessories
ifttt_pop,ifttt_pop:Eb8efsa4,640,,,notify,NotificationProvider,notify,1,1,0,,Mobile devices & accessories
ifttt_pop,ifttt_pop:R5ndAXsT,1244,calendar,CalendarProvider,notify,NotificationProvider,notify,1,1,0,,Mobile devices & accessories
ifttt_pop,ifttt_pop:gEiQpB9s,4510,time,Clock,notify,NotificationProvider,notify,1,1,0,,Calendars & scheduling
ifttt_pop,ifttt_pop:FVngEaMy,446,,,camera,Camera,camera,1,1,0,,Photo & video
ifttt_pop,ifttt_pop:jJxVTY6C,180,time,Clock,camera,Camera,camera,1,0,0,,Calendars & scheduling
ifttt_pop,ifttt_pop:va2iYrSK,126,,,notify,NotificationProvider,notify,1,1,0,,Mobile devices & accessories
ifttt_pop,ifttt_pop:P2zcePtM,259,,,notify,NotificationProvider,notify,1,1,0,,Mobile devices & accessories
ifttt_pop,ifttt_pop:dDB3hKH6,225,voice,,notify,NotificationProvider,notify,1,1,0,,Voice assistants
ifttt_pop,ifttt_pop:rV8umSFD,447,,,notify,NotificationProvider,notify,1,1,0,,News & information
ifttt_pop,ifttt_pop:xVhe2fkg,404,threshold,TemperatureSensor,thermostat,Thermostat,thermostat|notify,2,1,0,,Environment control & monitoring
ifttt_pop,ifttt_pop:bLRmyK3g,134,,,notify,NotificationProvider,notify,1,1,0,,Mobile devices & accessories
ifttt_pop,ifttt_pop:P7zPWZcd,1736,voice,,notify,NotificationProvider,notify,1,1,0,,Voice assistants
ifttt_pop,ifttt_pop:ULuBaMNP,391,battery,Battery,notify,NotificationProvider,notify,1,1,0,,Smart hubs & systems
ifttt_pop,ifttt_pop:pRWSfPhK,640,,,sprinkler,Sprinkler,sprinkler|notify,2,1,0,,Communication
ifttt_pop,ifttt_pop:SSTEKqsA,135,calendar,CalendarProvider,notify,NotificationProvider,notify,1,1,0,,Mobile devices & accessories
ifttt_pop,ifttt_pop:y7CExnAM,438,voice,,notify,NotificationProvider,notify,1,1,0,,Mobile devices & accessories
ifttt_pop,ifttt_pop:C9CGEtZj,837,button,Button,notify,NotificationProvider,notify|coffee,2,1,0,,Mobile devices & accessories
ifttt_pop,ifttt_pop:Q4r9kQUS,122,voice,,notify,NotificationProvider,notify,1,1,0,,Voice assistants
ifttt_pop,ifttt_pop:VMWLkpg6,86,,,notify,NotificationProvider,notify,1,1,0,,Mobile devices & accessories
ifttt_pop,ifttt_pop:v7B6pdRt,200,,,notify,NotificationProvider,notify,1,1,0,,Mobile devices & accessories
ifttt_pop,ifttt_pop:AKVN3WdJ,41,threshold,TemperatureSensor,notify,NotificationProvider,notify|timer,2,1,0,,Environment control & monitoring
ifttt_pop,ifttt_pop:QW3cLEeD,14455,calendar,CalendarProvider,notify,NotificationProvider,notify,1,1,0,,Mobile devices & accessories
ifttt_pop,ifttt_pop:N4h5pJ9M,121,,,notify,NotificationProvider,notify,1,1,0,,Mobile devices & accessories
ifttt_pop,ifttt_pop:rr3Dg7xb,63,calendar,CalendarProvider,notify,NotificationProvider,notify,1,1,0,,Mobile devices & accessories
ifttt_pop,ifttt_pop:jBhc2xSt,72,time,Clock,notify,NotificationProvider,notify,1,1,0,,Calendars & scheduling
ifttt_pop,ifttt_pop:wDJ4xMy8,228,,,notify,NotificationProvider,notify,1,1,0,,Task management & to-dos
ifttt_pop,ifttt_pop:dbwrk5Vf,219,finished,LaundryWasher,notify,NotificationProvider,notify,1,1,0,,Appliances
ifttt_pop,ifttt_pop:XJKrS5Rd,189,voice,,notify,NotificationProvider,notify,1,1,0,,Mobile devices & accessories
ifttt_pop,ifttt_pop:KntpX9T2,216,threshold,TemperatureSensor,notify,NotificationProvider,notify,1,1,0,,Environment control & monitoring
ifttt_pop,ifttt_pop:zrFaNJQn,520,voice,,notify,NotificationProvider,notify,1,1,0,,Voice assistants
